epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4181,3.50718,3.87324,3.98486,0.00437,0.24466,0.00486,0.00135,3.15255,3.7399,3.71559,0.000661836,0.000661836,0.000661836
2,49.9479,2.8816,3.43086,3.26016,0.03372,0.06098,0.01012,0.00284,2.83835,4.20086,3.24524,0.00131973,0.00131973,0.00131973
3,73.1368,2.67135,3.17833,2.93483,0.06034,0.0923,0.01795,0.0052,2.68308,3.5766,2.98445,0.00196883,0.00196883,0.00196883
4,96.4836,2.54227,3.02203,2.71985,0.07742,0.05972,0.01798,0.00542,2.65589,4.01575,2.94548,0.0019604,0.0019604,0.0019604
5,119.841,2.45913,2.97704,2.63411,0.0774,0.09433,0.02429,0.00783,2.46574,4.15132,2.75628,0.0019472,0.0019472,0.0019472
6,142.956,2.31832,2.79314,2.48304,0.07379,0.09467,0.01903,0.00589,2.62865,3.65059,2.91652,0.001934,0.001934,0.001934
7,166.015,2.19222,2.61845,2.36892,0.04824,0.08449,0.02548,0.01083,2.41914,3.5642,2.77005,0.0019208,0.0019208,0.0019208
8,189.169,2.07667,2.43561,2.24384,0.24315,0.18554,0.11996,0.04841,2.26091,3.11029,2.51636,0.0019076,0.0019076,0.0019076
9,212.34,1.97606,2.27147,2.14834,0.32897,0.14557,0.1226,0.04236,2.42961,3.03673,2.60333,0.0018944,0.0018944,0.0018944
10,235.458,1.91505,2.1411,2.07552,0.32653,0.23807,0.18314,0.08622,2.02986,2.70142,2.31561,0.0018812,0.0018812,0.0018812
11,258.435,1.8225,2.00887,1.99312,0.34943,0.13437,0.1289,0.05654,2.38045,3.39359,2.71936,0.001868,0.001868,0.001868
12,281.449,1.7842,1.96152,1.94899,0.45366,0.22803,0.21712,0.1114,2.01848,2.6077,2.27923,0.0018548,0.0018548,0.0018548
13,304.464,1.71023,1.86127,1.88709,0.53434,0.32046,0.32797,0.17753,1.7668,2.05283,2.00953,0.0018416,0.0018416,0.0018416
14,327.425,1.6585,1.74973,1.83884,0.49506,0.31795,0.31196,0.17011,1.83379,2.13438,2.05178,0.0018284,0.0018284,0.0018284
15,350.466,1.63437,1.69655,1.80402,0.53131,0.34713,0.34874,0.20205,1.72495,1.97961,1.96252,0.0018152,0.0018152,0.0018152
16,373.388,1.61364,1.69937,1.78732,0.49917,0.23515,0.24694,0.13413,2.0087,2.70072,2.234,0.001802,0.001802,0.001802
17,396.439,1.57658,1.65494,1.74057,0.58186,0.32582,0.34903,0.20609,1.67366,1.95898,1.89235,0.0017888,0.0017888,0.0017888
18,419.41,1.55508,1.599,1.72925,0.55649,0.33899,0.35455,0.20759,1.70561,1.97731,1.92219,0.0017756,0.0017756,0.0017756
19,442.437,1.50868,1.53943,1.69592,0.59659,0.34408,0.36516,0.21322,1.69586,1.97741,1.88392,0.0017624,0.0017624,0.0017624
20,465.521,1.48363,1.51197,1.66107,0.63249,0.35857,0.39697,0.24978,1.60071,1.82151,1.81601,0.0017492,0.0017492,0.0017492
21,488.741,1.5009,1.4884,1.64972,0.63003,0.40041,0.4324,0.26495,1.53795,1.70614,1.74277,0.001736,0.001736,0.001736
22,511.825,1.4914,1.48603,1.63733,0.66486,0.38039,0.43852,0.27192,1.57874,1.64831,1.77449,0.0017228,0.0017228,0.0017228
23,534.826,1.43332,1.4323,1.6131,0.62565,0.40322,0.42179,0.26051,1.52144,1.70489,1.74296,0.0017096,0.0017096,0.0017096
24,557.908,1.40507,1.37577,1.58151,0.65406,0.41975,0.45443,0.28924,1.48639,1.58421,1.70076,0.0016964,0.0016964,0.0016964
25,580.915,1.40167,1.38931,1.58471,0.72296,0.43163,0.49154,0.32279,1.37716,1.4737,1.58835,0.0016832,0.0016832,0.0016832
26,603.973,1.39584,1.35909,1.562,0.74507,0.42212,0.48871,0.31637,1.41619,1.53697,1.64054,0.00167,0.00167,0.00167
27,626.955,1.34071,1.31018,1.53149,0.69468,0.46352,0.52236,0.34715,1.34804,1.37373,1.56127,0.0016568,0.0016568,0.0016568
28,649.96,1.34369,1.3126,1.52814,0.68675,0.4357,0.48706,0.30762,1.42127,1.42231,1.60515,0.0016436,0.0016436,0.0016436
29,672.92,1.34774,1.30091,1.52766,0.76821,0.46216,0.54217,0.37349,1.26171,1.31291,1.49209,0.0016304,0.0016304,0.0016304
30,695.886,1.31161,1.25771,1.4995,0.74531,0.44791,0.50998,0.34484,1.33104,1.43573,1.55264,0.0016172,0.0016172,0.0016172
31,718.916,1.33072,1.2669,1.50959,0.71135,0.47201,0.52023,0.35235,1.30783,1.32529,1.51102,0.001604,0.001604,0.001604
32,741.904,1.3154,1.2534,1.4994,0.74979,0.45046,0.54093,0.35723,1.35254,1.30855,1.55413,0.0015908,0.0015908,0.0015908
33,764.852,1.31381,1.26393,1.49946,0.73718,0.46013,0.53833,0.36779,1.29117,1.39121,1.5163,0.0015776,0.0015776,0.0015776
34,787.799,1.27643,1.2038,1.47315,0.73302,0.5236,0.59347,0.39659,1.24542,1.18783,1.4567,0.0015644,0.0015644,0.0015644
35,810.835,1.26875,1.22194,1.45747,0.74875,0.51001,0.5687,0.39543,1.21373,1.15775,1.43566,0.0015512,0.0015512,0.0015512
36,833.85,1.25669,1.178,1.43674,0.77932,0.50051,0.56856,0.40159,1.18957,1.20417,1.42043,0.001538,0.001538,0.001538
37,856.986,1.26811,1.18564,1.46605,0.75882,0.5242,0.59199,0.3919,1.25328,1.15942,1.45659,0.0015248,0.0015248,0.0015248
38,879.975,1.2555,1.15026,1.4412,0.79126,0.53382,0.61459,0.42095,1.18064,1.14001,1.40529,0.0015116,0.0015116,0.0015116
39,902.987,1.23737,1.15788,1.4393,0.77266,0.4849,0.55801,0.38491,1.24911,1.24944,1.44904,0.0014984,0.0014984,0.0014984
40,925.93,1.22176,1.14757,1.43293,0.75015,0.4771,0.54069,0.37307,1.28814,1.31725,1.51145,0.0014852,0.0014852,0.0014852
41,948.957,1.25378,1.1386,1.42491,0.7823,0.49169,0.58331,0.40221,1.21082,1.19883,1.41361,0.001472,0.001472,0.001472
42,971.928,1.22104,1.12514,1.41698,0.75559,0.54496,0.62658,0.43084,1.17214,1.04442,1.37797,0.0014588,0.0014588,0.0014588
43,994.962,1.18975,1.109,1.39999,0.75666,0.53071,0.60057,0.41502,1.15744,1.15244,1.38428,0.0014456,0.0014456,0.0014456
44,1017.98,1.19332,1.09554,1.39261,0.78187,0.55412,0.63002,0.45037,1.10511,1.00604,1.34413,0.0014324,0.0014324,0.0014324
45,1041.05,1.18315,1.08335,1.38094,0.79301,0.54191,0.64225,0.45439,1.09795,1.01316,1.33733,0.0014192,0.0014192,0.0014192
46,1063.99,1.17812,1.07985,1.3851,0.80315,0.54687,0.63556,0.45003,1.10401,1.02758,1.33053,0.001406,0.001406,0.001406
47,1087.25,1.17805,1.072,1.38279,0.78457,0.58806,0.66451,0.46922,1.07522,0.98112,1.30751,0.0013928,0.0013928,0.0013928
48,1110.18,1.15176,1.03068,1.36154,0.77102,0.5987,0.66675,0.46916,1.07825,0.95713,1.31497,0.0013796,0.0013796,0.0013796
49,1133.24,1.15593,1.04084,1.3669,0.79339,0.61045,0.67826,0.48102,1.07361,0.94308,1.31039,0.0013664,0.0013664,0.0013664
50,1156.22,1.14922,1.04231,1.36293,0.78963,0.57441,0.66038,0.46248,1.10761,0.95767,1.32917,0.0013532,0.0013532,0.0013532
51,1179.43,1.13178,1.02247,1.35556,0.74632,0.60095,0.65819,0.46508,1.08365,0.98503,1.3113,0.00134,0.00134,0.00134
52,1202.38,1.13504,1.01892,1.35098,0.78108,0.57482,0.6518,0.46577,1.06545,0.95651,1.29789,0.0013268,0.0013268,0.0013268
53,1225.42,1.13882,1.02111,1.33981,0.80128,0.55139,0.64104,0.45789,1.10175,1.032,1.32121,0.0013136,0.0013136,0.0013136
54,1248.57,1.12336,0.99761,1.33776,0.76579,0.608,0.67437,0.4835,1.04005,0.92465,1.28749,0.0013004,0.0013004,0.0013004
55,1271.6,1.12622,0.99667,1.33957,0.75946,0.60842,0.66431,0.46887,1.07074,0.9595,1.2991,0.0012872,0.0012872,0.0012872
56,1294.56,1.12083,1.00794,1.34209,0.81007,0.585,0.68262,0.48012,1.05944,0.92588,1.27595,0.001274,0.001274,0.001274
57,1317.54,1.13395,1.00511,1.34369,0.82279,0.55142,0.66019,0.47592,1.052,0.96587,1.2926,0.0012608,0.0012608,0.0012608
58,1340.48,1.08948,0.97339,1.32126,0.81845,0.56159,0.65074,0.47204,1.05529,1.00111,1.28047,0.0012476,0.0012476,0.0012476
59,1363.48,1.12263,0.99308,1.3341,0.79854,0.58398,0.66874,0.48234,1.05008,0.92855,1.28331,0.0012344,0.0012344,0.0012344
60,1386.67,1.10775,0.9596,1.31239,0.80173,0.57313,0.66275,0.47945,1.04373,0.96757,1.28528,0.0012212,0.0012212,0.0012212
61,1409.65,1.09676,0.96563,1.30981,0.7757,0.59027,0.66779,0.47225,1.08482,0.96336,1.30882,0.001208,0.001208,0.001208
62,1432.63,1.08444,0.95131,1.30937,0.79856,0.60333,0.68249,0.49083,1.03007,0.90409,1.2615,0.0011948,0.0011948,0.0011948
63,1455.59,1.07334,0.94017,1.30218,0.83106,0.58907,0.68859,0.49081,1.0317,0.90459,1.25699,0.0011816,0.0011816,0.0011816
