epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6457,3.38453,5.02146,4.11181,0.00236,0.15392,0.00363,0.001,3.12222,4.60746,3.7912,0.000413647,0.000413647,0.000413647
2,116.157,2.90305,4.58781,3.43735,0.02032,0.04731,0.00748,0.00199,2.69811,4.75974,3.13302,0.000824443,0.000824443,0.000824443
3,172.445,2.60968,4.20031,3.04327,0.01842,0.03863,0.0104,0.00335,nan,nan,nan,0.00122934,0.00122934,0.00122934
4,228.453,2.4505,3.87627,2.83884,0.28271,0.04216,0.01794,0.00567,2.35161,3.88571,2.74423,0.00122348,0.00122348,0.00122348
5,283.745,2.32774,3.69986,2.68569,0.55398,0.06564,0.04003,0.01398,2.21924,3.53713,2.57867,0.00121464,0.00121464,0.00121464
6,339.285,2.22627,3.43365,2.53039,0.08177,0.07969,0.05529,0.02059,2.1657,3.359,2.49021,0.0012058,0.0012058,0.0012058
7,394.225,2.10953,3.24057,2.38735,0.35494,0.11932,0.07978,0.03311,2.05739,2.9654,2.33283,0.00119696,0.00119696,0.00119696
8,449.552,2.02077,3.05702,2.25695,0.18185,0.13124,0.1071,0.05164,1.95689,2.83237,2.19669,0.00118812,0.00118812,0.00118812
9,503.667,1.95964,2.9222,2.17437,0.38469,0.10419,0.10759,0.05273,1.90008,2.75272,2.11474,0.00117929,0.00117929,0.00117929
10,558.998,1.90452,2.79647,2.09472,0.1866,0.20822,0.15729,0.07788,1.76769,2.50064,1.97691,0.00117045,0.00117045,0.00117045
11,614.316,1.86226,2.69328,2.01919,0.24677,0.20823,0.16148,0.08808,1.73659,2.47907,1.89455,0.00116161,0.00116161,0.00116161
12,668.465,1.82418,2.67545,1.96201,0.23899,0.22962,0.16753,0.09444,1.69368,2.3844,1.85945,0.00115277,0.00115277,0.00115277
13,723.72,1.77257,2.58811,1.91175,0.17622,0.23218,0.1677,0.09428,1.67315,2.31655,1.81408,0.00114393,0.00114393,0.00114393
14,778.844,1.73874,2.49016,1.86363,0.21133,0.25157,0.19276,0.11156,1.66384,2.2465,1.80284,0.00113509,0.00113509,0.00113509
15,834.21,1.71488,2.40691,1.83278,0.24919,0.27827,0.2137,0.12454,1.57239,2.19958,1.72244,0.00112625,0.00112625,0.00112625
16,888.093,1.66853,2.3704,1.79318,0.27909,0.30793,0.24927,0.14727,1.50805,2.02274,1.65867,0.00111741,0.00111741,0.00111741
17,943.396,1.64724,2.2912,1.7533,0.26656,0.29462,0.23902,0.13969,1.55122,2.07165,1.69361,0.00110857,0.00110857,0.00110857
18,998.352,1.63239,2.25549,1.72915,0.28308,0.32389,0.2626,0.15968,1.45127,1.95421,1.5943,0.00109973,0.00109973,0.00109973
